dbms,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Full_Time_Employees_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Operation_&_Maintenance_Actuals_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Operation_&_Maintenance_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort_Test,Resource_TFATaskID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_PlannedTaskEffort,TFATaskID
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Infrastructure_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Professional_Services_Actuals_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Professional_Services_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Salary_Actuals_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Capital_Salary_Test,Number
sqlserver,PMD_DCSP-sqldb,dbo,BBM_BExEntriesExpanded_Test2,ID,1,int,NULL,PRIMARY KEY,dbo,BBM2_Consultants_Test,Number
